Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
El Presidente,2012,1886-1962,1886,1962,76,"The life of the first president of the Philippines Emilio Aguinaldo which spans the Philippine Revolution, Philippine–American War, up to the full restoration of Philippine independence on July 4, 1946.",Philippines
The Empress Dowager,1975,1835-1908,1835,1908,73,a Hong Kong film about Empress Dowager Cixi,China
Confucius,1940,551-479 BC,-551,-479,72,"thought to be a lost film, but was rediscovered in 2001 and restored",China
The First Churchills,1969,1650-1722,1650,1722,72,"A BBC serial about the life of John Churchill, 1st Duke of Marlborough and his wife, Sarah Churchill, Duchess of Marlborough",England
Destiny,1997,1126-1198,1126,1198,72,"about Averroes, the 12th-century philosopher from Muslim-controlled Andalusia in Spain whose commentaries would become a staple for subsequent generations of students of Aristotle in Europe",Spain
Vikings,2013,793-865,793,865,72,"Series inspired by the sagas of Viking Ragnar Lothbrok, one of the best-known legendary Norse heroes and notorious as the scourge of England and France.",England
The Adventures of Marco Polo,1938,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco Polo,1962,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco the Magnificent,1965,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco,1973,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco Polo,1975,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco Polo,1982,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco Polo,2007,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
Marco Polo,2014,1254-1325,1254,1325,71,the Italian explorer who traveled to the court of Kublai Khan,China
David and Bathsheba,1951,1040-970 BC,-1040,-970,70,"Set in the Southern Beirut, Lebanon, during the reign of David, Kings of Israel. David is married to Michal, daughter of his predecessor Saul. David has an extramarital affair with Bathsheba, wife of the soldier Uriah the Hittite. Uriah is one of David's Mighty Warriors (a group of soldiers personally loyal to David), but David arranges for Uriah to be killed in battle and then claims Bathsheba as his new wife. Based on the Books of Samuel.",Israel
A Story of David,1960,1040-970 BC,-1040,-970,70,"Set in the Southern Beirut, Lebanon, it depicts the complex relationship between Saul, Kings of Israel and his son-in-law and eventual successor David. Based on the Books of Samuel, where Saul is depicted as the founder of the Kingdom of Israel.",Israel
David and Goliath,1960,1040-970 BC,-1040,-970,70,"Set in the Southern Beirut, Lebanon, focused on the conflict between rival kings Saul and Asrod, and their representatives in champion warfare: David and Goliath of Gath. Based on the Books of Samuel, which depict Achish as a king of Gath who was in conflict with Saul and recruited David to serve in his army.",Israel
Andrei Rublev,1966,1360-1430,1360,1430,70,"about the life of Andrei Rublev, who was considered to be the greatest medieval Russian painter of icons and frescoes",Russia
Marco Polo,1982,1254-1324,1254,1324,70,an American-Italian television miniseries about the Venetian explorer who traveled to China and served in the court of Kublai Khan,China
King David,1985,1040-970 BC,-1040,-970,70,"Set in the Southern Beirut, Lebanon, it depicts the life and reign of David, Kings of Israel. Based on the Books of Samuel. David is the supposed founder of the House of David (Davidic line).",Israel
Aba,2008,437-367 BC,-437,-367,70,based on the historical legend of King Pandukabhaya,Sri Lanka
Tomyris,2019,600 - 530 BC,-600,-530,70,"The film is based on the story of Herodotus about the death of the Persian King Cyrus the Great during the war with Massagetae, which was commanded by the queen Tomiris.",Anshan
Citizen Kane,1941,1871-1940,1871,1940,69,Chronicles the life of fictional yellow journalist Charles Foster Kane.,New York
Edward the Seventh,1975,1841-1910,1841,1910,69,"The life of Edward VII, King of the United Kingdom of Great Britain and Ireland.",UK
Rajaraja Cholan,1973,947 - 1014,947,1014,67,About the life history of great king Raja Raja Chola,India
Aloko Udapadi,2017,103 BC and c. 89-77 BC,-342,-275,67,based on the odyssey of King King Valagamba,Sri Lanka
Ponniyin Selvan,2022,947 - 1014,947,1014,67,About the life history of great king Raja Raja Chola,India
The Cantor of St Thomas's,1984,1685-1750,1685,1750,65,German composer Johann Sebastian Bach,Germany
Li Lianying: The Imperial Eunuch,1991,1848-1911,1848,1911,63,the Qing Dynasty eunuch Li Lianying,China
"Gunpowder, Treason & Plot",2004,1542-1605,1542,1605,63,"The reigns of Mary, Queen of Scots and her son James I of England.",England
Jodhaa Akbar,2008,1542-1605,1542,1605,63,"The love story of Mughal emperor Akbar the Great and Rajput princess ""Jodhaa"" i.e. Empress Mariam uz-Zamani.",Agra
The Message,1976,570-632,570,632,62,Arabian Peninsula – the life of Muhammad,Mecca
The Devil's Crown,1978,1154-1216,1154,1216,62,"During the reigns of Henry II, Richard I and John",England
The Messenger of God,2015,570-632,570,632,62,Arabian Peninsula – the life of Muhammad,Mecca
Queen Mandukhai the Wise,1988,1449 - 1510,1449,1510,61,Mongolian language film about the life of Queen Mandukhai (1449–1510) who reunited the Mongols.,Mongolia
El Cid,1961,1040-1099,1040,1099,59,"Rodrigo Díaz de Vivar, an 11th-century Spanish warrior known as El Cid",Iberian Peninsula
El Cid,2020,1040-1099,1040,1099,59,"Rodrigo Díaz de Vivar, an 11th-century Spanish warrior known as El Cid",Iberian Peninsula
Louis van Beethoven,2020,1770-1827,1770,1827,57,"Life of Ludwig van Beethoven, called Louis in family",Bonn
Tsogt Taij,1945,1581-1637,1581,1637,56,Mongolian language film about the patriotic struggle of Prince Tsogt Taij (1581–1637).,Mongolia
Nostradamus,1994,1510-1566,1510,1566,56,The life story of Nostradamus.,France
Julius Caesar,2002,100-44 BC,-100,-44,56,"a bio-pic of Julius Caesar, not the Shakespeare play about his death and the aftermath",Rome
John Adams,2008,1770-1826,1770,1826,56,The story about the American Founding Father John Adams from the Boston massacre in 1770 to his death in 1826.[4],Boston
The Empress Wu Tse-tien,1939,650-705,650,705,55,based on the story of Wu Zetian,China
Le Roi danse,2000,1632-1687,1632,1687,55,"Jean-Baptiste Lully, an Italian immigrant to France and noted composer of Baroque music.",France
Agora,2009,360-415,360,415,55,Life and death of scientist/philosopher Hypatia of Alexandria and the destruction of the Library.,"alexandria, egypt"
Ivan Groznyy,2009,1530-1584,1530,1584,54,16-episodes TV Series about Ivan IV of Russia.,Russia
Tsar,2009,1530-1584,1530,1584,54,Film about Ivan IV of Russia.,Russia
Ivan the Terrible,1944,1530-1584,1530,1584,54,Two-part film about Ivan IV of Russia.,Russua
Immortal Admiral Yi Sun-sin,2004,1545-1598,1545,1598,53,Life of the Korean admiral Yi Sun-sin and the Japanese invasions of Korea (1592–1598),Korea
Napoleon (1955 film),1955,1769-1821,1769,1821,52,French historical epic film that depicts major events in the life of Napoleon.,France
Lapu-Lapu,1955,1491-1542,1491,1542,51,The life of Lapu-Lapu and death of Magellan.,Philippines
Molière,1978,1622-1673,1622,1673,51,The French playwright Molière,France
Slave of Dreams,1995,1901-1850 BC,-1901,-1850,51,"Set in Ancient Egypt and based on the story of Joseph, a Vizier depicted in the Book of Genesis. The era of the film's setting corresponds to the Twelfth Dynasty of Egypt.",Egypt
Joseph,1995,1901-1850 BC,-1901,-1850,51,"Set in Ancient Egypt and based on the story of Joseph, a Vizier depicted in the Book of Genesis. The era of the film's setting corresponds to the Twelfth Dynasty of Egypt.",Egypt
Lapu-Lapu,2002,1491-1542,1491,1542,51,A remake of the 1955 film that tells the life of Lapu-Lapu.,Philippines
The Black Rose,1950,mid-to-late 1300 ,1350,1400,50,"the fictional exploits of a young Englishman who travels to China, falls in love along the way, and manages to return with a formula for gunpowder",China
Ulysses,1954,1200-1150 BC,-1200,-1150,50,"Set in the aftermath of the Trojan War, based on the epic poem Odyssey by Homer. It depicts the ten-year struggle of war veteran Odysseus to return home to the island of Ithaca following the war.",Anatolia
Helen of Troy,1956,1200-1150 BC,-1200,-1150,50,"Set in western Anatolia during the Trojan War, largery based on the epic poems Iliad and Odyssey by Homer.",Anatolia
The Trojan Horse,1961,1200-1150 BC,-1200,-1150,50,Set in western Anatolia in the 10th and final year of the Trojan War.,Anatolia
How the West Was Won,1962,1839-1889,1839,1889,50,United States expansion into and settlement of the West.,Illinois
The Fury of Achilles,1962,1200-1150 BC,-1200,-1150,50,"Set in western Anatolia in the 9th year of the Trojan War, based on the epic poem Iliad by Homer. King Agamemnon of Mycenae has lost his slave concubine Chryseis, and demands Briseis as a replacement concubine. Briseis is the slave concubine of Achilles, the leader of the Myrmidons, and Achilles feels insulted due to having to give her up to his superior. In retaliation, Achilles refuses to fight or lead his troops alongside the other Greek forces. The Trojans temporarily start gaining an advantage in the ongoing war.",Anatolia
The Avenger,1962,1200-1150 BC,-1200,-1150,50,"Aeneas struggles to establish a new home-land in the Italian Peninsula for his fellow survivors of the Trojan War. The film is based on the epic poem Aeneid by Virgil, which depicts Aeneas and his Trojan colonists as ancestor of the Romans.",Anatolia
Electra,1962,1200-1150 BC,-1200,-1150,50,"Set in the aftermath of the Trojan War in Mycenae, based on the theatrical play Electra by Euripides and the traditional accounts of conflicts within the family of the Atreidai. Agamemnon, King of Mycenae returned victorious from the Trojan War, but was assassinated by his own wife Clytemnestra and by his first cousin Aegisthus (who served as Clytemnestra's lover and a rival claimant to the throne). Years, later Electra (the daughter of Agamemnon and Clytemnestra) seeks revenge for her father's murder, by plotting the assassinations of both her mother and her stepfather.",Mycenae
The Odyssey,1968,1200-1150 BC,-1200,-1150,50,Based on the epic poem Odyssey by Homer.,Anatolia
The Trojan Women,1971,1200-1150 BC,-1200,-1150,50,"Set in the immediate aftermath of the Trojan War, based on the theatrical play The Trojan Women by Euripides. The city of Troy has been sacked and the victors of the war are taking decisions on the fates of surviving captives. The film focuses on the fates of female captives Hecuba, Andromache, Cassandra, and Helen of Sparta. Meanwhile, Astyanax, the underage heir to the Trojan throne and relative of all four women, is scheduled for execution.",Anatolia
Iphigenia,1977,1200-1150 BC,-1200,-1150,50,"Set in the port town of Aulis, Greece immediately before the Greek expeditionary force set sails to attack Troy. Due to unfavorable weather conditions, king Agamemnon of Mycenae offers his daughter Iphigenia as a human sacrifice to the goddess Artemis. The film is based on the theatrical play Iphigenia in Aulis by Euripides.",Aulis
Kristin Lavransdatter,1995,early-to-mid-1400 ,1400,1450,50,About a noblewoman with an arranged marriage who falls in love with someone else.,Norway
The Odyssey,1997,1200-1150 BC,-1200,-1150,50,"Set in the aftermath of the Trojan War, based on the epic poem Odyssey by Homer. It depicts the ten-year struggle of war veteran Odysseus to return home to the island of Ithaca following the war.",Anatolia
Helen of Troy,2003,1200-1150 BC,-1200,-1150,50,"TV miniseries set in western Anatolia during the Trojan War, loosely based on the epic poem Iliad by Homer.",Anatolia
Troy,2004,1200-1150 BC,-1200,-1150,50,"Set in western Anatolia during the Trojan War, loosely based on the epic poem Iliad by Homer.",Anatolia
The Scorpion King 2: Rise of a Warrior,2008,2334-2284 BC/ 1792 - c. 1750 BC,-2334,-2284,50,"A fictional story about Mathayus who aims to avenge the death of his father at the hand of Sargon, now king of Akkad. In this movie appear a fictional version of king Hammurabi of Babylon.",Egypt
The Pillars of the Earth,2010,1120-1170,1120,1170,50,during the civil wars between King Stephen and his cousin Maud,England
The Red Tent,2014,1700-1750 BC,-1700,-1750,50,"Miniseries set in The Holy Land during the time of the Old Testament patriarchs of the Book of Genesis. Dinah, the only daughter of Leah and Jacob, chronicles her story from youth through adulthood.",
Cathedral of the Sea,2018,1320-1370,1320,1370,50,"The action takes place in 14th century Barcelona at the height of the city's trade and military power in the Mediterranean, during the construction of Santa Maria del Mar serving as background to the story.",Barcelona
Troy: Fall of a City,2018,1200-1150 BC,-1200,-1150,50,Miniseries that tells the story of the 10-year siege of Troy.,Anatolia
Mughal-e-Azam,1960,1556-1605,1556,1605,49,"The Story of Akbar the Great, Mughal emperor and his son Jahangir. Jahangir's relationship with slave girl Anarkali is featured.",Agra
681 AD: The Glory of Khan,1981,632-681,632,681,49,epic about the fall of Old Great Bulgaria and the creation of modern-day Bulgaria; focuses on Kanasubigi Asparuh's life,Bulgaria
The Emperor's Shadow,1996,259-210 BC,-259,-210,49,about a troubled friendship between Qin Shi Huang and the musician Gao Jianli,China
Omar,2012,595-644,595,644,49,"the life of Omar ibn Al-Khattab, one of the companions of Muhammad",Mecca
Teodora,1921,500-548,500,548,48,Byzantine empress Theodora,Istanbul
"Theodora, Slave Empress",1954,500-548,500,548,48,Byzantine empress Theodora,Istanbul
The Three Musketeers,1973,1625-1673,1625,1673,48,"Based on the novels (The Three Musketeers and its sequels) by Alexandre Dumas. The protagonists are loosely based on historical figures Charles de Batz-Castelmore d'Artagnan, Armand d'Athos, Isaac de Porthau, and Henri d'Aramitz.",France
Sign of the Pagan,1954,406-453,406,453,47,Rome – the Huns conquests and the downfall of the Roman Empire,Rome
Attila,1954,406-453,406,453,47,Rome – the Hunnic leader up to his retreat from the Po river,Rome
Attila,2001,406-453,406,453,47,Rome – the life and death of the famous Hunnic leader,Rome
The Liberator (film),2013,1783-1830,1783,1830,47,Life of Simon Bolivar,
