Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
El Greco,2007,1567-1600,1567,1600,33,"Greek biographical film about the life of the Greek painter of the Spanish Renaissance, Doménikos Theotokópoulos, known as El Greco.",Spain
Sangolli Rayanna,2012,1798-1831,1798,1831,33,"Film is about Sangolli Rayanna, a prominent general from Karnataka, who fought against the East India Company until he was captured and executed in 1831.",Karnataka
Siri Parakum,2013,1153-1186,1153,1186,33,based on the historical legend of King Parakramabahu I the Great,Sri Lanka
The Tudors,2007,1514-1547,1514,1547,33,Henry VIII of England,England
Mircea,1989,1386-1418,1386,1418,32,"Mircea the Elder, who repelled the Ottoman Empire during his reign",Wallachia
"Charlemagne, le prince à cheval",1993,768-800,768,800,32,Charlemagne's reign up to his coronation as emperor in 800,France
The Duchess,2008,1774-1806,1774,1806,32,"The life of Georgiana Cavendish, Duchess of Devonshire",Devonshire
The Divine Weapon,2008,1418-1450,1418,1450,32,Set during the reign of Sejong the Great.,Korea
Catherine the Great,2019,1764-1796,1764,1796,32,Catherine II of Russia,Russia
Barrabas,1961,33-64,33,64,31,"Rome – ending reign of Tiberius, the reign of Nero",Rome
Taj Mahal: An Eternal Love Story,2005,1627-1658,1627,1658,31,Story of Shah Jahan and his Queen Mumtaz Mahal and history of the monument Taj Mahal built to honour Mumtaz Mahal after her death.,Taj Mahal
The Last Valley,1970,1618-1648,1618,1648,30,"Set in the Kingdom of Germany, Holy Roman Empire during the Thirty Years' War.",Germany
Ilustrado,2014,1860-1890,1860,1890,30,The film tells the story about José Rizal's early life as a teenager and his tragic first love.,Philippines
In the Heart of the Sea,2015,1820-1850,1820,1850,30,the story of the whaleship Essex which inspired the writing of Moby-Dick,Essex
Reign (TV series),2013,1557-1587,1557,1587,30,"78-episode TV series about Mary, Queen of Scots and Elizabeth I of England.",England
The Last Woman of Shang,1964,1075-1046 BC,-1075,-1046,29,"a Hong Kong film about Daji, a concubine of King Zhou of Shang",China
Alfred the Great,1969,870-899,870,899,29,"Alfred the Great, king of Wessex repels the army of Guthrum and begins the unification of England",England
Young Winston,1972,1874-1902,1874,1902,28,The biography Winston Churchill before he became Prime Minister of the United Kingdom during World War II.,UK
"Mary, Queen of Scots",1971,1560-1587,1560,1587,27,"Mary, Queen of Scots",England
Nero,2004,41-68,41,68,27,Rome – spanning the reigns of Claudius and Nero,Rome
Rudhramadevi,2015,1262-1289,1262,1289,27,Based on the life of Rudrama Devi and her achievements during her ruling period,India
The Last Roman,1968,526-553,526,553,27,the Ostrogoths' struggle against the Byzantine emperor Justinian I and his generals Belisarius and Narses – adaption of a novel by Felix Dahn,Istanbul
Mary of Scotland,1936,1561-1587,1561,1587,26,"Mary, Queen of Scots",England
Sudan,1945,2558-2532 BC,-2558,-2532,26,"Set during the reign of the pharaoh Khafre (Chephren), a member of the Fourth Dynasty of Egypt.",Egypt
Du Guesclin,1948,1354-1380,1354,1380,26,"Bertrand du Guesclin, a Constable of France in the Hundred Years' War",France
Napoleon (miniseries),2002,1795-1821,1795,1821,26,Historical miniseries which explored the life of Napoleon Bonaparte,France
Confucius,2010,505-479 BC,-505,-479,26,starring Chow Yun-fat as Confucius,China
Sacrifice,2010,607-581 BC,-607,-581,26,"based on the play The Orphan of Zhao, set in the Jin state during the Spring and Autumn period",China
"Mary, Queen of Scots",2018,1561-1587,1561,1587,26,"Mary, Queen of Scots",England
"Ganito Kami Noon, Paano Kayo Ngayon?",1970,1870-1895,1870,1895,25,The film depicts the Hispinized Society of the Philippines during the Spanish Period.,Philippines
Luther,2003,1505-1530,1505,1530,25,Martin Luther,Germany
Elizabeth I,2005,1578-1603,1578,1603,25,The last 25 years of the reign of Elizabeth I of England.,England
Bonifacio: Ang Unang Pangulo,2014,1872-1897,1872,1897,25,"The life of Philippine Revolutionary Andres Bonifacio from his founding of the Katipunan to his eventual execution. The film focused on the hypothesis that he, not Emilio Aguinaldo, was the first President of the Philippines.",Philippines
Laal Kaptaan,2019,1764-1789,1764,1789,25,A revenge drama set after the events of the Battle of Buxar,India
Maharaja Gemunu,2015,161-137 BC,-161,-137,24,based on the odyssey of King Dutugamunu,Sri Lanka
The Count of Monte Cristo,1934,1815-1838,1815,1838,23,France after Napoleon I (Bourbon Restoration and July Monarchy),France
Land of the Pharaohs,1956,2589-2566 BC,-2589,-2566,23,"Based on the reign of Pharaoh Khufu (Cheops), a member of the Fourth Dynasty of Egypt.",Egypt
Cleopatra's Daughter,1960,2589-2566 BC,-2589,-2566,23,"Based on the reign of Pharaoh Khufu (Cheops), a member of the Fourth Dynasty of Egypt.",Egypt
The Count of Monte Cristo,1975,1815-1838,1815,1838,23,France after Napoleon I (Bourbon Restoration and July Monarchy),France
Beatrice Cenci,1909,1577-1599,1577,1599,22,About the life events of Beatrice Cenci.,Rome
Beatrice Cenci,1926,1577-1599,1577,1599,22,About the life events of Beatrice Cenci.,Rome
Queen Christina,1933,1632-1654,1632,1654,22,"Christina, Queen of Sweden",Sweden
Beatrice Cenci,1941,1577-1599,1577,1599,22,About the life events of Beatrice Cenci.,Rome
Young Bess,1953,1536-1558,1536,1558,22,From the death of Anne Boleyn to the coronation of Elizabeth I of England.,England
Beatrice Cenci,1956,1577-1599,1577,1599,22,About the life events of Beatrice Cenci.,Rome
Beatrice Cenci,1969,1577-1599,1577,1599,22,It depicts real life events of Francesco and Beatrice Cenci.,Rome
Ludwig,1973,1864-1886,1864,1886,22,Life and death of King Ludwig II of Bavaria.,Bavaria
Mrs Brown,1997,1861-1883,1861,1883,22,The relationship between Queen Victoria of the United Kingdom of Great Britain and Ireland and her personal servant John Brown.,UK
The Devil's Whore,2008,1638-1660,1638,1660,22,The English Civil War and the reign of Oliver Cromwell,England
Rome,2005,52-30 BC,-52,-30,22,from the end of the Gallic Wars to the death of Mark Antony and the beginning of the Principate,Italy
Sins of Jezebel,1953,874-853 BC,-874,-853,21,"Set in the Southern Beirut, Lebanon, during the reign of Ahab, Kings of Israel. The film depicts the reign of the Omrides, based on Books of Kings and the Books of Chronicles. Jezebel, Ahab's queen comsort, is depicted as having an extramarital affair with the military commander Jehu. This contradicts the traditional narrative, where Jezebel never has extramarital affairs and where she is assassinated by Jehu during the coup d'état which elevated him to the throne.",Israel
Wyatt Earp,1994,1863-1884,1863,1884,21,Events leading up to and following the Gunfight at the O.K. Corral,Tombstone
Dangerous Beauty,1998,1562-1583,1562,1583,21,"The film is about Veronica Franco, a courtesan in 16th-century Venice who becomes a hero to her city, but later becomes the target of an inquisition by the Church for witchcraft.[3]",Venice
Domina,2021,43-22 BC,-43,-22,21,"The life and rise of Livia Drusilla, the powerful wife of the Roman emperor Augustus Caesar.",Rome
Tenali Ramakrishna,1956,1509-1529,1509,1529,20,Based on the life of Telugu poet Tenali Ramakrishna,India
Erik the Conqueror,1961,786-806,786,806,20,Two estranged brothers confront each other as rivals when war breaks out between Anglo-Saxon kingdoms and the Vikings.,England
Mayura,1975,345 - 365,345,365,20,Based on the Kadamba Dynasty's King Mayurasharma set in India,India
St. Thomas,1975,52-72,52,72,20,Rome – low budget Indian film on the missionary work of Thomas the Apostle in India.,India
Bajirao Mastani,2015,1720-1740,1720,1740,20,Based loosely on the life of Bajirao I and his controversial marriage to his Muslim wife Mastani albeit with lot of inaccuracies.,India
Poldark,2015,1781-1801,1781,1801,20,Adaptation of Winston Graham's novels set in Cornwall in the late 18th century,Cornwall
Madame Sans-Gêne,1961,1792-1811,1792,1811,19,Historical comedy-drama during the reign of Napoleon,France
Cleopatra,1917,48-30 BC,-48,-30,18,Egypt and Rome – follows her relationships first with Julius Caesar and then with Mark Antony,Egypt
The Scarlet Empress,1934,1744-1762,1744,1762,18,Catherine II of Russia,Russia
The Rise of Catherine the Great,1934,1744-1762,1744,1762,18,Catherine II of Russia,Russia
Cleopatra,1934,48-30 BC,-48,-30,18,Egypt and Rome – follows her relationships first with Julius Caesar and then with Mark Antony,Egypt
Marie Antoinette,1938,1774-1792,1774,1792,18,"Marie Antoinette, Queen consort of France",France
Marie Antoinette Queen of France,1956,1774-1792,1774,1792,18,"Marie Antoinette, Queen consort of France",France
Cleopatra,1963,48-30 BC,-48,-30,18,Egypt and Rome – follows her relationships first with Julius Caesar and then with Mark Antony,Egypt
Butch Cassidy and the Sundance Kid,1969,1890-1908,1890,1908,18,"Covers the activities of Butch Cassidy and Harry Longabaugh, prominent members of Butch Cassidy's Wild Bunch. The Wild Bunch was a loosely organized outlaw gang from Wyoming.",Wyoming
Witchhammer,1970,1678-1696,1678,1696,18,Northern Moravia witch trials,czech republic
Lady Caroline Lamb,1972,1810-1828,1810,1828,18,"Lady Caroline Lamb, the British aristocrat, novelist and Lord Byron's lover",UK
Catherine the Great,1995,1744-1762,1744,1762,18,Catherine II of Russia,Russia
Cleopatra,1999,48-30 BC,-48,-30,18,Egypt and Rome – follows her relationships first with Julius Caesar and then with Mark Antony,Egypt
Marie Antoinette,2006,1774-1792,1774,1792,18,"Marie Antoinette, Queen consort of France",France
Arn – The Kingdom at Road's End,2008,1187-1205,1187,1205,18,"following the Battle of Hattin, the knight returns home to Sweden and participates in the civil wars","Beirut, Lebanon"
Maria Theresia,2017,1723-1741,1723,1741,18,Depicts the life of the young Maria Theresa,Austria
Poldark,1975,1781-1799,1781,1799,18,Adaptation of Winston Graham's novels set in Cornwall in the late 18th century,Cornwall
Les Miserables,1934,1815-1832,1815,1832,17,France after Napoleon I (Bourbon Restoration and July Monarchy),France
Les Miserables,1935,1815-1832,1815,1832,17,France after Napoleon I (Bourbon Restoration and July Monarchy),France
Les Miserables,1995,1815-1832,1815,1832,17,France after Napoleon I (Bourbon Restoration and July Monarchy),France
Les Miserables,1998,1815-1832,1815,1832,17,France after Napoleon I (Bourbon Restoration and July Monarchy),France
The Sino-Dutch War 1661,2000,1645-1662,1645,1662,17,"based on the story of Koxinga (1624–1662), with the focus on the Siege of Fort Zeelandia",China
Gangs of New York,2002,1846-1863,1846,1863,17,"New York City prior and during the American Civil War. The events occur in the crime- infested neighborhood of Five Points, Manhattan. The film opens in 1846 with a conflict between a Nativist gang and the Dead Rabbits. The action then moves forward to the 1860s with the Nativists still active and involved with William M. Tweed, ""boss"" of Tammany Hall. The action culminates in the New York City draft riots of 1863.",New York City
Les Miserables,2012,1815-1832,1815,1832,17,France after Napoleon I (Bourbon Restoration and July Monarchy),France
A Royal Affair,2012,1766-1783,1766,1783,17,"Set at the court of the mentally ill King Christian VII of Denmark, and focuses on the romance between his wife, Caroline Matilda of Great Britain, and the royal physician Johann Friedrich Struensee.",Denmark
Pompeii,2014,62-79,62,79,17,Pompeii in the days leading up to the eruption of Mount Vesuvius,Pompeii
Les Miserables,2018,1815-1832,1815,1832,17,France after Napoleon I (Bourbon Restoration and July Monarchy),France
Napoleon,1927,1799-1815,1799,1815,16,Napoléon I of France,France
Cardinal Richelieu,1935,1626-1642,1626,1642,16,The life of the great 17th-century French statesman Cardinal Richelieu and his dealings with Louis XIII of France,France
Gone with the Wind,1939,1861-1877,1861,1877,16,Georgia during the American Civil War and the Reconstruction Era.,"Georgia, US"
Song of Love,1947,1840-1856,1840,1856,16,The marriage of Robert and Clara Schumann and their close friendship with Johannes Brahms. All three were notable composers.,Germany
Desiree,1954,1799-1815,1799,1815,16,The love story between Désirée Clary and Napoleon I,France
Jupiter's Darling,1955,218-202 BC,-218,-202,16,during the Second Punic War,Sicily
Hannibal,1959,218-202 BC,-218,-202,16,during the Second Punic War,Sicily
Riel,1979,1869-1885,1869,1885,16,"The activities of Louis Riel, a Métis in both the Red River Rebellion of Manitoba and the North-West Rebellion in the District of Saskatchewan.",Saskatchewan
The Count of Monte Cristo,2002,1815-1831,1815,1831,16,"France after Napoleon I (Bourbon Restoration and July Monarchy); Unlike the first two films, this version states 1814 at the start. Dantes' plan happens over a three-year period, having been imprisoned for thirteen years, as is stated during the film. The ending is set shortly after Albert's sixteenth birthday, having been born in 1815.",France
Hannibal – Rome's Worst Nightmare,2006,218-202 BC,-218,-202,16,during the Second Punic War,Sicily
Cabiria,1914,218-202 BC,-218,-202,16,during the Second Punic War,Sicily
Knightfall,2017,1291-1307,1291,1307,16,"recounts the success, fall, persecution, and suppression of the Knights Templar",France
Becket,1964,1155-1170,1155,1170,15,"archbishop Thomas Becket, once a close personal friend of Henry II",England
King Arthur,2004,452-467,452,467,15,the Roman withdrawal from Britain and the Battle of Mount Badon,UK
King Danylo – Kingdom Of Swords,2018,1238-1253,1238,1253,15,"King Daniel of Galicia, the first King of Rus'.",Portugal
Quo Vadis,1951,54-68,54,68,14,Rome during the reign of Nero,Rome
Serpent of the Nile,1953,44-30 BC,-44,-30,14,Tells the story of the Egyptian Queen Cleopatra and her relationship with the Roman general Mark Anthony from just after the assassination of Julius Caesar.,Egypt
Sun in the Last Days of the Shogunate,1957,1853-1867,1853,1867,14,"Awards: 1 Blue Ribbon Award, 1 Kinema Junpo Award, 1 Mainichi Film Concours",Japan
Shinobi no Mono 6: Iga Mansion,1965,1637-1651,1637,1651,14,,Japan
Quo Vadis,1985,54-68,54,68,14,Rome during the reign of Nero,Rome
Quo Vadis,2001,54-68,54,68,14,Rome during the reign of Nero,Rome
The Promise,2005,766-780,766,780,14,Set during the end of the Tang dynasty,China
The Warlords,2007,1850-1864,1850,1864,14,set in the Qing Dynasty during the Taiping Rebellion,China
The Last Legion,2007,476-490,476,490,14,connecting (in heavily fictionalized fashion) the deposition of the last Roman emperor Romulus Augustus by Odoacer with the Battle of Mount Badon,UK
Prithviraj,2021,1178-1192 CE,1178,1192,14,The film is based on life of Prithviraj Chauhan[2],India
Antony and Cleopatra (many adaptations),1908,44-30 BC,-44,-30,14,Shakespeare's play about the relationship between Cleopatra and Mark Antony,Egypt
Sheba and the Gladiator,1959,260-273,260,273,13,Rome and the Palmyrene Empire during the reigns of Aurelian and Zenobia,Rome
Cromwell,1970,1640-1653,1640,1653,13,The English Civil War and the dissolution of the Rump Parliament,England
Northern Crusades,1972,1260-1273,1260,1273,13,the Great Prussian Uprising against the Teutonic Knights during the Northern Crusades,Germany
Great Liao's Empress Dowager,1995,969-982,969,982,13,a Chinese film about Empress Xiao Yanyan,China
The Current War,2017,1880-1893,1880,1893,13,"the 19th-century competition between Thomas Edison and George Westinghouse over which electric power delivery system would be used in the United States (often referred to as the ""war of the currents"").",Northeastern US
Victoria,2016,1837-1850,1837,1850,13,Life of Queen Victoria,UK
War and Peace,1956,1803-1815,1803,1815,12,The Russian Empire during the Napoleonic era,Russia
Shinobi no Mono 2: Vengeance,1963,1582-1594,1582,1594,12,Based on the novel of the same name.,Japan
The Two Gladiators,1964,180-192,180,192,12,Rome during the reign of Commodus,Rome
The Fall of the Roman Empire,1964,180-192,180,192,12,Rome during the reign of Commodus,Rome
Anne of the Thousand Days,1969,1524-1536,1524,1536,12,"Anne Boleyn, Queen Consort of King Henry VIII and the mother of Queen Elizabeth I.",London
Gladiator,2000,180-192,180,192,12,Rome - spanning the reigns of Marcus Aurelius and Commodus,Rome
The King and the Clown,2005,1494-1506,1494,1506,12,Set during the reign of Yeonsangun of Joseon.,Korea
12 Years a Slave,2013,1841-1853,1841,1853,12,The story of free African American Solomon Northup after he was abducted and sold into slavery. Based on the autobiography of the same name,New York
La corona partida,2016,1504-1516,1504,1516,12,"After the death of Queen Isabella I of Castile, both Ferdinand II of Aragon and Felipe el Hermoso fight to succeed her.",Castile
Harakiri,1962,1619-1630,1619,1630,11,Set in Japan during the Edo period,Japan
Harakiri,1962,1619-1630,1619,1630,11,,Japan
Ridicule,1996,1783-1794,1783,1794,11,On the brink of the French Revolution. A minor baron and engineer from Lyon tries to gain audience with King Louis XVI of France to fund drainage of the mosquito-infested swamps bringing sickness and death to his region.,France
Vanity Fair,2004,1803-1814,1803,1814,11,The Napoleonic era,Russia
The Assassination of Jesse James by the Coward Robert Ford,2007,1881-1892,1881,1892,11,"The end of Jesse James' career as a criminal and the man who eventually kills him, Robert Ford in 1882","Saint Joseph, MO"
Princess Kaiulani,2009,1887-1898,1887,1898,11,based on the life of Princess Ka?iulani of the Kingdom of Hawai?i,Hawaii
Sons of Liberty,2015,1765-1776,1765,1776,11,A story about the Founding Fathers of the United States and the American Revolution.,northeastern united states
Black Sails,2014,1715-1726,1715,1726,11,Set roughly two decades before the events of Treasure Island and during the Golden Age of Piracy,Nassau
Conquest,1937,1806-1816,1806,1816,10,The love story between Marie Walewska and Napoleon I,France
A Man for All Seasons,1966,1525-1535,1525,1535,10,Thomas More,London
The Duellists,1977,1804-1814,1804,1814,10,The Napoleonic Wars,France
Mountains of the Moon,1990,1854-1864,1854,1864,10,Journey of Richard Francis Burton and John Hanning Speke in their expedition to Central Africa and the rivalry that followed,Africa
To Kill a King,2003,1648-1658,1648,1658,10,"The reign of Oliver Cromwell, Lord Protector.",England
Admiral,2015,1640-1650,1640,1650,10,The life of Michiel de Ruyter and the Dutch civil war,Netherlands
Tommy's Honour,2016,1866-1876,1866,1876,10,The complex and bittersweet relationship between the pioneering and legendary Scottish golfing champions Old Tom Morris and Young Tom Morris.,Scotland
George Washington II: The Forging of a Nation,1986,1788-1797,1788,1797,9,George Washington's life during his time as President of the United States.,"Washington, DC"
Braveheart,1995,1296-1305,1296,1305,9,"William Wallace, a Scotsman who fought for Scotland's independence in the 1290s",Great Britain
The Bruce,1996,1305-1314,1305,1314,9,"Robert the Bruce, who took over the rebellion against Edward ""Longshanks"" following the death of William Wallace in 1305",Scotland
Elizabeth,1998,1554-1563,1554,1563,9,The early reign of Elizabeth I of England.,England
Tut,2015,1332-1323 BC,-1332,-1323,9,"The three-part miniseries is based on the life of Egyptian pharaoh Tutankhamun, a member of the Eighteenth Dynasty of Egypt.",Egypt
Bouboulina,1959,1821-1829,1821,1829,8,"Laskarina Bouboulina, heroine of the Greek War of Independence",Greece
Caesar the Conqueror,1962,58-50 BC,-58,-50,8,Julius Caesar leads the Roman army to battle against rebels in Gaul.,Rome
The Long Ships,1964,982-990,982,990,8,"A vagabond Viking adventurer and a Moor both compete to find ""The Mother of All Voices"", a legendary golden bell near the Pillars of Hercules.",Denmark
The Magnificent Gladiator,1964,260-268,260,268,8,Rome during the reign of Gallienus,Rome
Mihai Viteazul,1970,1593-1601,1593,1601,8,"Michael the Brave, prince of Wallachia, Moldavia and Transylvania.",Transylvania
Arn – The Knight Templar,2007,1179-1187,1179,1187,8,a Swedish knight is sent to Jerusalem as penance while his lover languishes in a convent,Jurusalem
A.D. The Bible Continues,2015,33-41,33,41,8,"Beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Book of Acts.",Jerusalem
Silence,2016,1630-1638,1630,1638,8,Jesuit priests from Portugal attempt to spread Catholic Christianity in Edo-era Japan,Japan
Silence,2016,1630-1638,1630,1638,8,Based on the novel of the same name.,Korea
The Spanish Princess (TV series),2019,1501-1509,1501,1509,8,Catherine of Aragon,Aragon
Robert the Bruce,2019,1306-1314,1306,1314,8,The story follows Robert the Bruce during the First War of Scottish Independence,Scotland
Messalina,1951,41-48,41,48,7,Rome – about the reign of Messalina and Claudius,Rome
The Pride and the Passion,1957,1807-1814,1807,1814,7,"The Napoleonic Wars, the Peninsular War in Spain",Spain
Messalina,1960,41-48,41,48,7,Rome – about the reign of Messalina and Claudius,Rome
The Miracle Worker,1962,1880-1887,1880,1887,7,"The early childhood of Helen Keller, her infancy contraction of blindness and deafness and Anne Sullivan's arrival","Tuscumbia, AL"
The Man in the Iron Mask,1977,1660-1667,1660,1667,7,Loosely based on the existence of the Man in the Iron Mask. Set in France in the reign of Louis XIV,France
Druids,2001,58-51 BC,-58,-51,7,the struggle between Julius Caesar and Vercingetorix in the Gallic Wars,Rome
Kingdom of Heaven,2005,1183-1190,1183,1190,7,events which led to the Third Crusade (the Battle of Hattin and the Siege of Jerusalem),Jurusalem
Outlander (TV series),2014,1743-ongoing,1743,1750,7,Depicts events leading up to the Jacobite Rising of 1745,England
Wolf Hall,2015,1529-1536,1529,1536,7,The court of Henry VIII of England through the eyes of Thomas Cromwell.,UK
War & Peace,2016,1805-1812,1805,1812,7,The Russian Empire during the Napoleonic era,Russia
The Four Feathers,1939,1882-1888,1882,1888,6,During the British Army's Nile Expedition,Egypt
The Robe,1953,30-36,30,36,6,"Rome – ending reign of Tiberius, the beginning of Caligula",Rome
Shinobi no Mono,1962,1575-1581,1575,1581,6,Based on the novel of the same name.,Japan
Constantine and the Cross,1962,306-312,306,312,6,Rome's first Christian emperor from the death of Constantius Chlorus to the Battle of the Milvian Bridge,Rome
John Wycliffe: The Morning Star,1984,1378-1384,1378,1384,6,"the life and teachings of John Wycliffe, the 14th-century English theologian who is often seen as a fore-runner of the Protestant Reformation",England
Dances with Wolves,1990,1864-1870,1864,1870,6,"Fictional story set during the American Civil War and its aftermath in the American West, interaction with the Lakota Sioux",South Dakota
With Fire and Sword,1999,1648-1654,1648,1654,6,The Khmelnytsky uprising in Ukraine against the control of the Polish–Lithuanian Commonwealth. It led to the period of the Commonwealth known as the Deluge.,Ukraine
The Four Feathers,2002,1882-1888,1882,1888,6,During the British Army's Nile Expedition,Egypt
The Apocalypse,2002,90-96,90,96,6,Rome – Ephesus,Rome
Benedict Arnold: A Question of Honor,2003,1776-1782,1776,1782,6,"Depicting Benedict Arnold, both an early hero of the American Revolution and a notorious defector.",northeastern united states
A Battle of Wits,2006,375-369 BC,-375,-369,6,set in the reign of King Lie of Zhou,China
Detective Dee and the Mystery of the Phantom Flame,2010,684-690,684,690,6,"a Hong Kong film based on a fictional account of Di Renjie, set in the reign of Wu Zetian",China
The Private Lives of Elizabeth and Essex,1939,1596-1601,1596,1601,5,"Elizabeth I of England and Robert Devereux, 2nd Earl of Essex.",England
La Fayette,1961,1776-1781,1776,1781,5,"The film depicts the life of Gilbert du Motier, Marquis de Lafayette, in particular his role in the American War of Independence.",northeastern united states
Sword of the Conqueror,1961,567-572,567,572,5,Alboin and the Lombard invasion of Italy,italy
Shinobi no Mono 3: Resurrection,1963,1595-1600,1595,1600,5,Based on the novel of the same name.,Japan
Saladin,1963,1187-1192,1187,1192,5,events leading up to and including the Third Crusade,"Beirut, Lebanon"
The Enigma of Kaspar Hauser,1974,1828-1833,1828,1833,5,The story of foundling Kaspar Hauser in the German Confederation.,Germany
The Deluge,1974,1655-1660,1655,1660,5,The Polish–Lithuanian Commonwealth during the Second Northern War,Poland
La Revolution française,1989,1789-1794,1789,1794,5,French Revolution,France
The Patriot,2000,1776-1781,1776,1781,5,"Based on the life of Francis Marion, an officer of the Continental Army officer during the American Revolutionary War.",northeastern united states
Elizabeth: The Golden Age,2007,1585-1590,1585,1590,5,The reign of Elizabeth I of England and the Spanish Armada.,England
Katipunan,2013,1892-1897,1892,1897,5,Tells the how the Katipunan was formed from Andres Bonifacio's perspective.,Philippines
Heneral Luna,2015,1898-1903,1898,1903,5,The biography of General Antonio Luna's career up to his assassination during the Philippine–American War.,Philippines
Thugs of Hindostan,2018,1795-1800,1795,1800,5,Based on a band of Thugs resisting the East India Company's rule in India.,India
Esther and the King,1960,486-482 BC,-486,-482,4,the biblical story of Esther,Anshan
The Agony and the Ecstasy,1965,1508-1512,1508,1512,4,The painting of the Sistine Chapel.,Vatican
Caligula,1979,37-41,37,41,4,Rome – the reign of the third emperor,Rome
The Great Conqueror's Concubine,1994,206-202 BC,-206,-202,4,a Hong Kong film set in the Chu–Han Contention,China
Jefferson in Paris,1995,1784-1788,1784,1788,4,"A semi-fictional account of Thomas Jefferson's tenure as the Ambassador of the United States to France before his presidency and of his alleged relationships with British artist Maria Cosway and his slave, Sally Hemings.",Paris
Casanova,2005,1753-1757,1753,1757,4,Giacomo Casanova,France
One Night with the King,2006,486-482 BC,-486,-482,4,the biblical story of Esther set in the Achaemenid Empire,Anshan
The Young Victoria,2009,1836-1840,1836,1840,4,"Early reign of Queen Victoria of the United Kingdom of Great Britain and Ireland and her marriage to Albert, Prince Consort",UK
White Vengeance,2011,206-202 BC,-206,-202,4,loosely based on the Feast at Hong Gate and events in the Chu–Han Contention,China
The Last Supper,2012,206-202 BC,-206,-202,4,based on events in the Chu–Han Contention,China
The English Game,2020,1879-1883,1879,1883,4,early association football in Great Britain,UK
Tiniente Rosario,1937,1898-1901,1898,1901,3,The Story about the Philippine Revolutionary Army and its Female Sergeant officer.[7],Philippines
Sissi – Fateful Years of an Empress,1957,1857-1860,1857,1860,3,Last film in the Sissi trilogy.,Austria
The Mighty Crusaders,1958,1096-1099,1096,1099,3,First Crusade,"Beirut, Lebanon"
Carthage in Flames,1960,149-146 BC,-149,-146,3,Depicts the last of the Punic Wars between the Roman Republic and Carthage.,Italy
Shinobi no Mono 8: Three Enemies,1966,1570-1573,1570,1573,3,,Japan
The Mission,1986,1760-1763,1760,1763,3,Jesuit missionaries in South America,Paraguay 
The Last Temptation of Christ,1988,27-30 AD,27,30,3,Judea – the life of Jesus Christ,bethlehem
Tombstone,1993,1881-1884,1881,1884,3,Events leading up to and following the Gunfight at the O.K. Corral,Tombstone
Ride with the Devil,1999,1861-1864,1861,1864,3,"depicts the activities of pro-Confederate Bushwhackers, guerrilla fighters, in Missouri during the American Civil War",Sicily
Rytsarskiy roman,2000,1096-1099,1096,1099,3,First Crusade,Istanbul
Brotherhood of the Wolf,2001,1764-1767,1764,1767,3,Based on a real-life series of killings that took place in France in the 18th century and on the famous legend of the Beast of Gévaudan,France
The Crusaders,2001,1096-1099,1096,1099,3,First Crusade,"Beirut, Lebanon"
Cold Mountain,2003,1861-1864,1861,1864,3,A couple in North Carolina is separated during the American Civil War and try to find each other again.,North Carolina
Bright Star,2009,1818-1821,1818,1821,3,The last three years of poet John Keats' life,England
All Is True,2018,1613-1616,1613,1616,3,later years in the life of William Shakespeare,England
Outlaw King,2018,1304-1307,1304,1307,3,"Robert the Bruce rebels against Edward I's rule over Scotland, thus becoming an ""outlaw"", depicts the Battle of Loudoun Hill",Scotland
Jamestown,2017,1619-1622,1619,1622,3,"The colonization of Jamestown, Virginia",Virgina
The Crusades,1935,1190-1192,1190,1192,2,About the Third Crusade,"Beirut, Lebanon"
The 47 Ronin,1941,1701-1703,1701,1703,2,Two-part film depicting the famous actions of the Forty-seven r?nin in 1701–1703. Part 2 was released on 1942.02.11.,Japan
Sins of Rome,1953,73-71 BC,-73,-71,2,the Third Servile War in Rome,Italy
Spartacus,1960,73-71 BC,-73,-71,2,the Third Servile War in Rome,Italy
Siege of Syracuse,1960,214-212 BC,-214,-212,2,the Roman Siege of Syracuse during the Second Punic War,"syracuse, italy"
Chushingura,1962,1701-1703,1701,1703,2,Another film about the Forty-seven r?nin.,Japan
Ned Kelly,1970,1878-1880,1878,1880,2,British-Australian biographical film of 19th-century Australian bushranger Ned Kelly,Australia
Robin and Marian,1976,1199-1201,1199,1201,2,from the death of Richard the Lionheart until the early reign of King John,England
Shaolin Temple,1982,619-621,619,621,2,"starring Jet Li, based on the story of Shaolin Temple help Li Shimin",China
Journey of Honor,1991,1600-1602,1600,1602,2,Loosely based on the journey of samurai Hasekura Tsunenaga and his delegation to Spain in 1613.,Japan
Amistad,1997,1839-1841,1839,1841,2,"Mutiny aboard La Amistad, a ship containing slaves from Africa. The ship had left Havana and was bound for Camagüey, both ports being in Spanish Cuba. The film follows the ship's entry into United States custody and the subsequent trial. The case was resolved by the trial United States v. The Amistad.",Cuba
Gods and Generals,2003,1861-1863,1861,1863,2,The American Civil War from the outset of the war to the Battle of Chancellorsville,Eastern US
Master and Commander: The Far Side of the World,2003,1803-1805,1803,1805,2,During the Napoleonic Wars,France
Spartacus,2004,73-71 BC,-73,-71,2,the Third Servile War in Rome,Italy
Gunpowder,2017,1603-1605,1603,1605,2,English Catholic Robert Catesby and the Gunpowder Plot,England
At Eternity's Gate,2018,1888-1890,1888,1890,2,the final years of painter Vincent van Gogh's life,Netherlands
