movie_id,genre
58879,Action
54306,History
54306,Action
73043,Adventure
799881,Drama
73043,Drama
799881,Horror
1059,Romance
799881,Action
1059,Drama
63411,Romance
1059,Action
63411,Adventure
35627,Comedy
156079,Drama
63411,Action
35627,Adventure
156079,Drama
35627,Action
156079,Thriller
156079,Drama
58875,Action
656074,Adventure
84508,Drama
656074,Action
84508,History
84508,Horror
41486,Action
116690,Adventure
17129,Drama
17128,Fantasy
55884,History
116690,Drama
17129,Action
17128,Drama
17128,Action
55884,Drama
17099,History
55884,Action
17099,Romance
367844,Thriller
17099,Action
367844,Drama
367844,Drama
154764,History
154764,Action
495940,Drama
112227,History
112227,Action
41477,Drama
41482,Romance
41477,Action
41482,Action
128406,Crime
73990,Drama
141819,Thriller
128406,Action
73990,Drama
73990,Action
141819,Science Fiction
102146,War
141819,Action
102146,Crime
11645,Drama
102146,Drama
11645,Action
47578,Drama
35861,History
47578,Action
35861,Adventure
514149,Drama
42113,Fantasy
35861,Drama
514149,Romance
514149,Comedy
42113,History
42113,Drama
52970,Action
17762,Drama
17762,Action
77467,Drama
31374,History
31374,Action
600420,Adventure
794610,Drama
600420,Crime
794610,Drama
794610,Action
44963,Drama
44963,Action
15119,Adventure
15119,Action
31378,Action
11953,Adventure
3777,Drama
112579,History
108650,Romance
11953,Action
3777,Drama
112579,History
108650,War
3777,Drama
112579,History
112579,Action
108650,Adventure
108650,Drama
13637,Action
60099,Adventure
186909,Comedy
11051,Thriller
29912,Western
60099,Action
186909,Adventure
11051,Drama
186909,Action
11051,Adventure
29912,Drama
187938,War
11051,Drama
29912,Drama
187938,History
187938,Drama
335778,Drama
615,History
615,Drama
9453,Drama
211292,History
43332,Romance
211292,Drama
43332,Adventure
290088,History
290088,Drama
547155,War
11620,Drama
59219,History
62326,Romance
59219,Drama
62326,History
62326,Action
40456,Drama
76649,History
40456,Adventure
76649,Action
50070,Adventure
43098,Drama
69879,History
444136,Romance
50070,Drama
43098,History
43098,Adventure
69879,History
444136,Romance
69879,Action
444136,Drama
36662,History
444136,Drama
36662,History
36662,Drama
283881,History
262984,War
283881,Drama
262984,History
262984,Drama
23759,History
23759,Action
49494,Adventure
434395,Drama
49494,Adventure
434395,Drama
434395,Action
48646,Drama
98,History
48646,Comedy
98,Action
259049,Adventure
17277,Drama
259049,Adventure
17277,Drama
12289,History
136701,War
12289,Action
136701,Adventure
62977,Drama
14538,War
136701,Drama
62977,History
62977,Action
14538,Drama
211179,History
42241,War
14538,Action
211179,Drama
42241,History
211179,Action
42241,Adventure
167603,Drama
42241,Drama
167603,Drama
27707,History
27707,Drama
235434,History
235434,Action
14539,Drama
14539,Action
47145,Adventure
26428,History
47145,Drama
26428,Adventure
420564,Drama
123701,History
420564,History
123701,War
123701,Adventure
800709,Drama
594130,Fantasy
205331,History
450529,TV Movie
800709,Fantasy
594130,History
594130,Drama
205331,TV Movie
450529,War
205331,Drama
450529,History
11188,War
450529,History
11188,Action
9477,Action
631791,Adventure
9703,History
280957,War
631791,Drama
9703,History
9703,Action
280957,Adventure
198783,Fantasy
187117,War
280957,History
198783,Romance
198783,Drama
187117,History
187117,Adventure
158157,History
158157,Action
26842,Adventure
26842,Action
550724,Adventure
143328,Drama
606386,History
550724,Adventure
143328,Romance
143328,Drama
606386,Fantasy
2310,Action
72653,Adventure
9044,Animation
72653,Fantasy
9044,TV Movie
9044,Action
5471,Adventure
23383,Drama
136994,Romance
5471,Action
23383,Adventure
136994,Drama
71317,Fantasy
23383,Drama
136994,Animation
71317,Fantasy
71317,Drama
10275,Action
535389,Action
147704,History
485296,War
147704,Comedy
485296,History
48492,War
485296,Adventure
48492,Drama
14797,History
10529,War
48492,Action
14797,Adventure
10529,Drama
2008,Mystery
14797,Action
10529,Adventure
2008,Drama
10529,Action
2008,Fantasy
330831,Science Fiction
2008,Action
330831,Drama
88266,Fantasy
20532,Romance
427395,Thriller
330831,Action
88266,History
20532,War
88266,Action
20532,Adventure
20532,Drama
427395,Fantasy
9503,History
9503,Drama
9550,Action
