name,title list,director_id,gender,director_popularity,movie_id,title
Bruce Beresford,"King David, Black Robe",5696.0,2.0,2.25,41784,Black Robe
Bruce Macdonald,Samson,2025698.0,0.0,0.6,474392,Samson
Bruce Neibaur,Journey to Mecca,89650.0,2.0,0.6,70664,Journey to Mecca
Bruno Vailati,The Giant of Marathon,99526.0,0.0,0.972,18696,The Giant of Marathon
Bu Wan-Cang,Mulan Joins the Army,1021586.0,2.0,3.407,420564,Mulan Joins the Army
Byron Haskin,Treasure Island,51000.0,2.0,3.968,6646,Treasure Island
Carl Theodor Dreyer,Day of Wrath,11572.0,2.0,3.668,41391,Day of Wrath
Carlo Campogalliani,"Sword of the Conqueror, Goliath and the Barbarians",1060712.0,2.0,0.84,187117,Sword of the Conqueror
Carlo Campogalliani,Son of Samson,1060712.0,2.0,1.021,206004,Son of Samson
Carlo Campogalliani,"Sword of the Conqueror, Goliath and the Barbarians",1060712.0,2.0,1.4,158157,Goliath and the Barbarians
Carlo Ludovico Bragaglia,"The Queen of Babylon, Amazons of Rome",226428.0,2.0,0.98,223168,The Queen of Babylon
Carlo Ludovico Bragaglia,"The Queen of Babylon, Amazons of Rome",226428.0,2.0,0.98,164302,Amazons of Rome
Carlo Ludovico Bragaglia,Hannibal,226428.0,2.0,1.22,169818,Hannibal
Carmine Gallone,"Scipio Africanus: The Defeat of Hannibal, Carthage in Flames",33464.0,2.0,1.803,80087,Scipio Africanus: The Defeat of Hannibal
Carmine Gallone,"Scipio Africanus: The Defeat of Hannibal, Carthage in Flames",33464.0,2.0,1.803,207234,Carthage in Flames
Carol Reed,"The Agony and the Ecstasy, Mutiny on the Bounty",15378.0,2.0,1.764,11085,Mutiny on the Bounty
Carol Reed,"The Agony and the Ecstasy, Mutiny on the Bounty",15378.0,2.0,1.88,36815,The Agony and the Ecstasy
Catherine Hardwicke,The Nativity Story,19850.0,1.0,5.182,2447,The Nativity Story
Cecil B. DeMille,"The Ten Commandments, Samson and Delilah, Cleopatra, The Sign of the Cross, The Crusades, Unconquered",8636.0,2.0,2.2,58905,The Crusades
Cecil B. DeMille,"The Ten Commandments, Samson and Delilah, Cleopatra, The Sign of the Cross, The Crusades, Unconquered",8636.0,2.0,2.0,72241,Unconquered
Cecil B. DeMille,"The Ten Commandments, Samson and Delilah, Cleopatra, The Sign of the Cross, The Crusades, Unconquered",8636.0,2.0,2.2,50070,The Sign of the Cross
Cecil B. DeMille,"The Ten Commandments, Samson and Delilah, Cleopatra, The Sign of the Cross, The Crusades, Unconquered",8636.0,2.0,2.0,43902,Cleopatra
Cecil B. DeMille,"The Ten Commandments, Samson and Delilah, Cleopatra, The Sign of the Cross, The Crusades, Unconquered",8636.0,2.0,2.0,6844,The Ten Commandments
Cecil B. DeMille,"The Ten Commandments, Samson and Delilah, Cleopatra, The Sign of the Cross, The Crusades, Unconquered",8636.0,2.0,2.0,29993,Samson and Delilah
Chang Cheh,The Heroic Ones,99436.0,2.0,6.136,36261,The Heroic Ones
Charles Jarrott,"Anne of the Thousand Days, Mary, Queen of Scots",29646.0,2.0,4.214,46067,"Mary, Queen of Scots"
Charles Jarrott,"Anne of the Thousand Days, Mary, Queen of Scots",29646.0,2.0,4.214,22522,Anne of the Thousand Days
Charles Shyer,The Affair of the Necklace,56106.0,2.0,5.864,19076,The Affair of the Necklace
Charles Tung Shao-Yung,The 14 Amazons,1211488.0,2.0,1.153,21621,The 14 Amazons
Chen Kaige,"Sacrifice, The Emperor and the Assassin, The Promise",20640.0,2.0,7.092,55741,Sacrifice
Chen Kaige,"Sacrifice, The Emperor and the Assassin, The Promise",20640.0,2.0,7.092,10387,The Emperor and the Assassin
Chen Kaige,"Sacrifice, The Emperor and the Assassin, The Promise",20640.0,2.0,7.092,2008,The Promise
Cheng Kang,The 14 Amazons,1042674.0,2.0,0.84,21621,The 14 Amazons
