name,actor_id,count
Aladár Laklóth,1413152.0,1
Alain Blazquez,999810.0,1
Alain Chanoine,90725.0,1
Alain Doutey,35608.0,1
Alain Frérot,17898.0,1
Alain Hocine,1563153.0,1
Alain Macé,24382.0,1
Alain Moussi,1427888.0,1
Alain Naya,1140969.0,1
Alain Quercy,28456.0,1
Alain Recoing,1377708.0,1
Alain Sachs,572635.0,1
Alan Aubert-Carlin,1983649.0,1
Alan Bates,27554.0,2
Alan Bennett,55477.0,1
Alan Callow,2946214.0,1
Alan Charlesworth,1987918.0,1
Alan Cody,43441.0,1
Alan Cumming,10697.0,1
Alan Cuthbert,1654695.0,1
Alan Dobie,196275.0,2
Alan Doyle,147472.0,1
Alan Hale,8729.0,4
Alan Howard,1848285.0,1
Alan Jones Silva,2892031.0,1
Alan Ladd,30510.0,3
Alan Lee,113555.0,1
Alan Lewis,1463137.0,1
Alan Marshal,78854.0,1
Alan McKenna,86441.0,1
Alan McMahon,2586837.0,1
Alan Meadows,1205992.0,1
Alan Mowbray,8240.0,2
Alan Napier,6933.0,4
Alan North,53584.0,1
Alan O'Silva,134848.0,1
Alan Paris,1206002.0,1
Alan Rickman,4566.0,3
Alan Roscoe,123585.0,1
Alan Rowe,1230273.0,1
Alan Shearman,52327.0,1
Alan Stanford,15888.0,1
Alan Tall,2474.0,1
Alan Tilvern,12828.0,4
Alan Tudyk,21088.0,1
Alan Waltman,2918963.0,1
Alan Webb,14820.0,2
Alan Wells,2744721.0,1
Alan Wheatley,97245.0,1
Alan Williams,122589.0,1
Alan Young,21874.0,1
Alan van Sprang,99183.0,1
Alana Ladd,178368.0,1
Alasdair McGaw,2064678.0,1
Alastair Mackenzie,39970.0,2
Albena Pavlova,1257773.0,1
Alberigo Donadeo,1684757.0,1
Albert Broquin,1334823.0,1
Albert Cavens,1601650.0,1
Albert Conti,100595.0,1
Albert Dekker,2755.0,1
Albert Delpy,3730.0,1
Albert Dieudonné,143356.0,1
Albert Finney,3926.0,1
Albert MacQuarrie,1321419.0,1
Alberto Campi,1425160.0,1
Alberto Farnese,262301.0,3
Alberto Forti,1383043.0,1
Alberto Lupo,89125.0,3
Alberto Morin,70939.0,2
Alberto Plebani,126562.0,1
Alberto Rossatti,2324181.0,1
Alberto Sanz,2334179.0,1
Alberto Sordi,45982.0,1
Albie Woodington,53353.0,1
Albino Principe,1425168.0,1
Aldo Brugnini,141719.0,1
Aldo Cecconi,237343.0,1
Aldo Cristiani,2257706.0,1
Aldo Giuffrè,5813.0,1
Aldo Pedinotti,1162874.0,1
Aldo Pini,114422.0,2
Aldo Sambrell,49895.0,2
Aldo Silvani,5404.0,1
Aldo Vasco,119433.0,1
Alec Craig,22606.0,2
Alec Guinness,12248.0,3
Alec Harford,1353601.0,1
Alec Mango,94271.0,1
Alec McCowen,8224.0,2
Alec McMahon,2302476.0,1
Alec Sabin,1230676.0,1
Alec Su,102296.0,1
Aleczander Gordon,1650965.0,1
Alejandro Naranjo,1432104.0,1
Alejandro Repullés,1464029.0,1
Alejandro Rey,83851.0,1
Alejandro de Quesada,2929348.0,1
Alek Wek,1229590.0,1
Aleka Katselli,1559730.0,1
Aleksandar Belovski,2575297.0,1
Aleksandar Gavrić,51890.0,2
Aleksander Mincer,2019210.0,1
Aleksander Pociej,107898.0,1
Aleksander Wysocki,107894.0,1
Aleksandr Armer,1820075.0,1
Aleksandr Barinov,1253516.0,1
Aleksandr Bukharov,93534.0,1
Aleksandr Ilin,126861.0,1
Aleksandr Lobanov,1644310.0,2
Aleksandr Ryzhkov,2292191.0,1
Aleksandr Starikov,1106046.0,1
Aleksandr Titov,2079765.0,1
Aleksandr Ustyugov,1382068.0,1
Aleksandr Vokach,240373.0,1
Aleksandra Bortich,1441614.0,1
Aleksey Chadov,101433.0,1
Aleksey Demidov,1257244.0,1
Aleksey Glazyrin,225724.0,1
Aleksey Makarov,126864.0,1
Alessandra Martines,63895.0,1
Alessandra Tani,1604917.0,1
Alessandro Borghi,1395660.0,2
Alessandro Bressanello,48377.0,1
Alessandro Fersen,1124445.0,2
Alessandro Gassmann,57345.0,1
Alessandro Giuggioli,25080.0,1
Alessandro Guerrera,1535062.0,1
Alessandro Nivola,4941.0,1
Alessandro Perella,3069508.0,1
Alessandro Piscitelli,25107.0,1
Alessandro Preziosi,24288.0,1
Alessandro Serbaroli,1266695.0,1
Alessio Lapice,1880993.0,1
Aletta Bezuidenhout,181270.0,1
Alex Barles,1519770.0,1
Alex Bernard,590406.0,2
Alex Bisping,1050988.0,1
Alex Fong,21914.0,1
Alex Gavin,1321452.0,1
Alex Hassell,178634.0,2
Alex Howden,1796275.0,1
Alex Ivanovici,96594.0,1
Alex Jennings,15739.0,2
Alex Johnson,2577427.0,1
Alex King,2969854.0,1
Alex Kingston,83701.0,1
Alex Knight,307885.0,1
Alex Lawther,1379277.0,1
Alex MacQueen,126042.0,1
Alex McNally,2175265.0,1
Alex Menzies,1920176.0,1
Alex Meraz,84217.0,1
Alex Norton,2451.0,2
Alex Palmer,2060.0,1
Alex Scott,65024.0,1
Alex Sharp,2220191.0,1
Alex Tondowski,1282866.0,1
Alex Vincent Medina,1193510.0,1
Alex Zahara,62919.0,1
Alex Zorbas,1392723.0,1
Alexander Allerson,18840.0,1
Alexander Brooks,1182570.0,1
Alexander Cann,1619134.0,1
Alexander Cobb,1430435.0,1
Alexander Dalov,2088638.0,1
Alexander Deng,2302494.0,1
Alexander England,1527210.0,1
Alexander Flache,1329774.0,1
Alexander Held,21743.0,2
Alexander Jagsch,1052314.0,1
Alexander John,1845034.0,1
Alexander Knox,40529.0,3
Alexander Morton,32808.0,1
Alexander Oliver,1143395.0,1
Alexander Scourby,96284.0,1
Alexander Siddig,2957.0,3
Alexander Stephan,51560.0,1
Alexander Streit,2928712.0,1
Alexandr Domogarov,107864.0,2
Alexandr Grishin,2361421.0,1
Alexandra Beaton,1089929.0,1
Alexandra Cheves,1378124.0,1
Alexandra Kabi,1392707.0,1
Alexandra Pigg,230909.0,1
Alexandra Thomas-Davies,2241207.0,1
Alexandre Koubitzky,1693169.0,1
Alexandre Mathillon,1693193.0,1
Alexandru Herescu,2136136.0,1
Alexandru Repan,55506.0,1
Alexandru Vasiliu,2088260.0,1
Alexandru Virgil Platon,1739453.0,1
Alexandru Vrancea,2136267.0,1
Alexey Frandetti,150827.0,1
Alexey Ilyin,1849012.0,1
Alexey Kolgan,939190.0,1
Alexi Long,1619137.0,1
Alexia Khadime,1278562.0,1
Alexia Landeau,1003934.0,1
Alexia Murray,124682.0,1
Alexis Kendra,566796.0,1
Alexis Michalik,431148.0,1
Alexx O'Nell,130115.0,1
Alf Joint,605021.0,2
Alfie Allen,71586.0,1
Alfie Bass,30119.0,1
Alfie Davis,1278523.0,1
Alfio Caltabiano,1125205.0,2
Alfonso Bedoya,30304.0,1
Alfre Woodard,1981.0,1
Alfred Baillou,931423.0,1
Alfred Boch,3026418.0,1
Alfred Brown,94272.0,1
Alfred Edel,1013897.0,1
Alfred Hartung,1664601.0,1
Alfred Lodzinski,1537612.0,1
Alfred Molina,658.0,1
Alfred Strejček,2005887.0,1
Alfred Vargas,565383.0,1
Alfredo Bianchini,1527583.0,1
Alfredo De Antoni,1387331.0,1
Alfredo Mayo,100307.0,1
Alfredo Rizzo,12006.0,1
Alfredo Sivoli,3364450.0,1
Alfredo Varelli,1082662.0,4
Algimantas Masiulis,1186432.0,1
Algimantas Voščikas,1636092.0,1
Algirdas Latėnas,1153599.0,1
Ali Bokaeian,2698971.0,1
Ali Larter,17303.0,1
Ali Quli Mirza,1640839.0,1
Alia Seror-O'Neill,1535059.0,1
Alice Amter,61081.0,1
Alice Bendová,125153.0,1
Alice Calvert,2526158.0,1
Alice Connor,57809.0,1
Alice Dixson,1233919.0,1
Alice Fearn,1278490.0,1
Alice Kessler,935970.0,2
Alice Krige,2506.0,5
Alice Papineau,2679691.0,1
Alice Tissot,553634.0,1
Alicia Ibanez,3332481.0,1
Alicia Meyer,1500853.0,1
Alicia Rhett,1073154.0,1
Alicia Turner,2078745.0,1
Alicia Vikander,227454.0,1
Alicia Witt,3128.0,1
Alida Valli,15385.0,1
Aline MacMahon,74874.0,1
Alireza Kamali,1588048.0,1
Alireza Libre,1500851.0,1
Alisdair Simpson,1235288.0,1
Alisha Nagarsheth,226776.0,1
Alisha Soni,2031861.0,1
Alison Bird,1351500.0,1
Alison Chang Yen,1498975.0,1
Alison Elliott,15675.0,2
Alison Jiear,1028408.0,1
Alison Limerick,3253124.0,1
Alison Lohman,8291.0,1
Alison Reid,1415152.0,1
Alison Tennant,1278491.0,1
Alistair Brammer,231666.0,1
Alistair Macnaughtan,2283631.0,1
Alistair Petrie,56100.0,2
Allan Bradford,3001436.0,1
Allan Corduner,78018.0,2
Allan Edwall,3857.0,2
Allan Jeayes,95027.0,3
Allan Mitchell,1404134.0,1
